Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Rio Espera;Vila Rio De Janeiro;3;2;Casa;R$ 3.700;3943;Rua Rio Espera, São Paulo, Brasil;130;Vila Rio De Janeiro, Rua Rio Espera;Vila Rio De Janeiro, Rua Rio Espera, São Paulo, Brasil
Rua Hermínio Rosa;Lar São Paulo;3;2;Casa;R$ 3.690;4514;Rua Hermínio Rosa, São Paulo, Brasil;230;Lar São Paulo, Rua Hermínio Rosa;Lar São Paulo, Rua Hermínio Rosa, São Paulo, Brasil
Alameda Afonso Schmidt;Santa Teresinha;3;2;Casa;R$ 3.650;4141;Alameda Afonso Schmidt, São Paulo, Brasil;175;Santa Teresinha, Alameda Afonso Schmidt;Santa Teresinha, Alameda Afonso Schmidt, São Paulo, Brasil
Avenida Pedro Bueno;Jabaquara;3;2;Casa;R$ 3.650;4080;Avenida Pedro Bueno, São Paulo, Brasil;196;Jabaquara, Avenida Pedro Bueno;Jabaquara, Avenida Pedro Bueno, São Paulo, Brasil
Rua Coronel Paulo Souza Barros;Jardim Pinheiros;3;2;Casa;R$ 3.650;3992;Rua Coronel Paulo Souza Barros, São Paulo, Brasil;300;Jardim Pinheiros, Rua Coronel Paulo Souza Barros;Jardim Pinheiros, Rua Coronel Paulo Souza Barros, São Paulo, Brasil
Rua Batinga;Vila Nova Mazzei;3;2;Casa;R$ 3.650;3901;Rua Batinga, São Paulo, Brasil;200;Vila Nova Mazzei, Rua Batinga;Vila Nova Mazzei, Rua Batinga, São Paulo, Brasil
Rua Montegolfier Barbieri;Vila Cruz Das Almas;3;2;Casa;R$ 3.630;3785;Rua Montegolfier Barbieri, São Paulo, Brasil;150;Vila Cruz Das Almas, Rua Montegolfier Barbieri;Vila Cruz Das Almas, Rua Montegolfier Barbieri, São Paulo, Brasil
Rua Arthur Azevedo;Recanto Das Rosas;3;2;Casa;R$ 3.610;3920;Rua Arthur Azevedo, São Paulo, Brasil;300;Recanto Das Rosas, Rua Arthur Azevedo;Recanto Das Rosas, Rua Arthur Azevedo, São Paulo, Brasil
Rua Cancioneiro Popular;Chácara Santo Antônio;3;2;Casa;R$ 3.600;4146;Rua Cancioneiro Popular, São Paulo, Brasil;140;Chácara Santo Antônio, Rua Cancioneiro Popular;Chácara Santo Antônio, Rua Cancioneiro Popular, São Paulo, Brasil
Rua Resedá;Jardim Das Flores;3;2;Casa;R$ 3.600;4068;Rua Resedá, São Paulo, Brasil;250;Jardim Das Flores, Rua Resedá;Jardim Das Flores, Rua Resedá, São Paulo, Brasil
Avenida Professor Abraão de Morais;Saúde;3;2;Casa;R$ 3.600;3986;Avenida Professor Abraão de Morais, São Paulo, Brasil;145;Saúde, Avenida Professor Abraão de Morais;Saúde, Avenida Professor Abraão de Morais, São Paulo, Brasil
Rua João Domingos Bomtempo;Jardim Vazani;3;2;Casa;R$ 3.600;3944;Rua João Domingos Bomtempo, São Paulo, Brasil;170;Jardim Vazani, Rua João Domingos Bomtempo;Jardim Vazani, Rua João Domingos Bomtempo, São Paulo, Brasil
Rua Galileu;Jardim Aeroporto;3;2;Casa;R$ 3.600;3878;Rua Galileu, São Paulo, Brasil;150;Jardim Aeroporto, Rua Galileu;Jardim Aeroporto, Rua Galileu, São Paulo, Brasil
Rua Daniel José Pereira;Rio Pequeno;3;2;Casa;R$ 3.600;3822;Rua Daniel José Pereira, São Paulo, Brasil;120;Rio Pequeno, Rua Daniel José Pereira;Rio Pequeno, Rua Daniel José Pereira, São Paulo, Brasil
