Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Oliveira Catrambi;Jardim Vila Formosa;2;1;Apartamento;R$ 6.000;6232;Rua Oliveira Catrambi, São Paulo, Brasil;50;Jardim Vila Formosa, Rua Oliveira Catrambi;Jardim Vila Formosa, Rua Oliveira Catrambi, São Paulo, Brasil
Rua da Glória;Liberdade;2;1;Apartamento;R$ 5.600;6653;Rua da Glória, São Paulo, Brasil;50;Liberdade, Rua da Glória;Liberdade, Rua da Glória, São Paulo, Brasil
Rua Alvorada;Vila Olímpia;2;1;Apartamento;R$ 5.400;7067;Rua Alvorada, São Paulo, Brasil;50;Vila Olímpia, Rua Alvorada;Vila Olímpia, Rua Alvorada, São Paulo, Brasil
Rua Pelotas;Vila Mariana;2;1;Apartamento;R$ 4.725;5907;Rua Pelotas, São Paulo, Brasil;50;Vila Mariana, Rua Pelotas;Vila Mariana, Rua Pelotas, São Paulo, Brasil
Rua Bela Cintra;Consolação;2;1;Apartamento;R$ 4.500;5574;Rua Bela Cintra, São Paulo, Brasil;50;Consolação, Rua Bela Cintra;Consolação, Rua Bela Cintra, São Paulo, Brasil
Rua Tomé Portes;Vila Dom Pedro Ii;2;1;Apartamento;R$ 4.210;5300;Rua Tomé Portes, São Paulo, Brasil;50;Vila Dom Pedro Ii, Rua Tomé Portes;Vila Dom Pedro Ii, Rua Tomé Portes, São Paulo, Brasil
Rua Jaboticabal;Vila Bertioga;2;1;Apartamento;R$ 4.000;5009;Rua Jaboticabal, São Paulo, Brasil;50;Vila Bertioga, Rua Jaboticabal;Vila Bertioga, Rua Jaboticabal, São Paulo, Brasil
Avenida Varsóvia;Vila Metalurgica;2;1;Apartamento;R$ 4.000;4463;Avenida Varsóvia, São Paulo, Brasil;50;Vila Metalurgica, Avenida Varsóvia;Vila Metalurgica, Avenida Varsóvia, São Paulo, Brasil
Rua Constantino de Sousa;Campo Belo;2;1;Apartamento;R$ 3.950;5221;Rua Constantino de Sousa, São Paulo, Brasil;50;Campo Belo, Rua Constantino de Sousa;Campo Belo, Rua Constantino de Sousa, São Paulo, Brasil
Rua Cônego Vicente Miguel Marino;Barra Funda;2;1;Apartamento;R$ 3.900;4554;Rua Cônego Vicente Miguel Marino, São Paulo, Brasil;50;Barra Funda, Rua Cônego Vicente Miguel Marino;Barra Funda, Rua Cônego Vicente Miguel Marino, São Paulo, Brasil
Rua Domingos Paiva;Brás;2;1;Apartamento;R$ 3.800;4587;Rua Domingos Paiva, São Paulo, Brasil;50;Brás, Rua Domingos Paiva;Brás, Rua Domingos Paiva, São Paulo, Brasil
Rua Sampaio Viana;Vila Mariana;2;1;Apartamento;R$ 3.590;6713;Rua Sampaio Viana, São Paulo, Brasil;50;Vila Mariana, Rua Sampaio Viana;Vila Mariana, Rua Sampaio Viana, São Paulo, Brasil
Rua Comendador Miguel Calfat;Vila Nova Conceição;2;1;Apartamento;R$ 3.500;4861;Rua Comendador Miguel Calfat, São Paulo, Brasil;50;Vila Nova Conceição, Rua Comendador Miguel Calfat;Vila Nova Conceição, Rua Comendador Miguel Calfat, São Paulo, Brasil
Rua Jaguarete;Casa Verde;2;1;Apartamento;R$ 3.264;3977;Rua Jaguarete, São Paulo, Brasil;50;Casa Verde, Rua Jaguarete;Casa Verde, Rua Jaguarete, São Paulo, Brasil
Rua Inhambú;Vila Uberabinha;2;1;Apartamento;R$ 3.250;4077;Rua Inhambú, São Paulo, Brasil;50;Vila Uberabinha, Rua Inhambú;Vila Uberabinha, Rua Inhambú, São Paulo, Brasil
Rua Martim Francisco;Santa Cecília;2;1;Apartamento;R$ 3.200;4455;Rua Martim Francisco, São Paulo, Brasil;50;Santa Cecília, Rua Martim Francisco;Santa Cecília, Rua Martim Francisco, São Paulo, Brasil
Rua Martim Francisco;Vila Buarque;2;1;Apartamento;R$ 3.200;4406;Rua Martim Francisco, São Paulo, Brasil;50;Vila Buarque, Rua Martim Francisco;Vila Buarque, Rua Martim Francisco, São Paulo, Brasil
Rua Abílio Soares;Paraíso;2;1;Apartamento;R$ 3.100;4340;Rua Abílio Soares, São Paulo, Brasil;50;Paraíso, Rua Abílio Soares;Paraíso, Rua Abílio Soares, São Paulo, Brasil
Rua Doutor Djalma Pinheiro Franco;Vila Santa Catarina;2;1;Apartamento;R$ 3.100;3648;Rua Doutor Djalma Pinheiro Franco, São Paulo, Brasil;50;Vila Santa Catarina, Rua Doutor Djalma Pinheiro Franco;Vila Santa Catarina, Rua Doutor Djalma Pinheiro Franco, São Paulo, Brasil
Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte);2;1;Apartamento;R$ 3.052;3819;Avenida Leôncio de Magalhães, São Paulo, Brasil;50;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães;Jardim São Paulo(Zona Norte), Avenida Leôncio de Magalhães, São Paulo, Brasil
Rua Glicério;Liberdade;2;1;Apartamento;R$ 3.000;3745;Rua Glicério, São Paulo, Brasil;50;Liberdade, Rua Glicério;Liberdade, Rua Glicério, São Paulo, Brasil
Rua do Lucas;Brás;2;1;Apartamento;R$ 3.000;3578;Rua do Lucas, São Paulo, Brasil;50;Brás, Rua do Lucas;Brás, Rua do Lucas, São Paulo, Brasil
Rua Capistrano de Abreu;Barra Funda;2;1;Apartamento;R$ 2.900;3667;Rua Capistrano de Abreu, São Paulo, Brasil;50;Barra Funda, Rua Capistrano de Abreu;Barra Funda, Rua Capistrano de Abreu, São Paulo, Brasil
Avenida João de Barros;Socorro;2;1;Apartamento;R$ 2.900;3562;Avenida João de Barros, São Paulo, Brasil;50;Socorro, Avenida João de Barros;Socorro, Avenida João de Barros, São Paulo, Brasil
Rua Caetanópolis;Jaguaré;2;1;Apartamento;R$ 2.900;3515;Rua Caetanópolis, São Paulo, Brasil;50;Jaguaré, Rua Caetanópolis;Jaguaré, Rua Caetanópolis, São Paulo, Brasil
Avenida Doutor Assis Ribeiro;Jardim Danfer;2;1;Apartamento;R$ 2.820;3409;Avenida Doutor Assis Ribeiro, São Paulo, Brasil;50;Jardim Danfer, Avenida Doutor Assis Ribeiro;Jardim Danfer, Avenida Doutor Assis Ribeiro, São Paulo, Brasil
Avenida Alberto Augusto Alves;Vila Andrade;2;1;Apartamento;R$ 2.800;3870;Avenida Alberto Augusto Alves, São Paulo, Brasil;50;Vila Andrade, Avenida Alberto Augusto Alves;Vila Andrade, Avenida Alberto Augusto Alves, São Paulo, Brasil
Rua Pernambucana;Conceição;2;1;Apartamento;R$ 2.800;2987;Rua Pernambucana, São Paulo, Brasil;50;Conceição, Rua Pernambucana;Conceição, Rua Pernambucana, São Paulo, Brasil
Rua Antônio Gil;Jardim Alzira;2;1;Apartamento;R$ 2.700;3194;Rua Antônio Gil, São Paulo, Brasil;50;Jardim Alzira, Rua Antônio Gil;Jardim Alzira, Rua Antônio Gil, São Paulo, Brasil
Rua Heitor Penteado;Sumarezinho;2;1;Apartamento;R$ 2.650;3438;Rua Heitor Penteado, São Paulo, Brasil;50;Sumarezinho, Rua Heitor Penteado;Sumarezinho, Rua Heitor Penteado, São Paulo, Brasil
Avenida do Anastácio;City América;2;1;Apartamento;R$ 2.648;3500;Avenida do Anastácio, São Paulo, Brasil;50;City América, Avenida do Anastácio;City América, Avenida do Anastácio, São Paulo, Brasil
Avenida Nossa Senhora do Ó;Limão;2;1;Apartamento;R$ 2.640;3202;Avenida Nossa Senhora do Ó, São Paulo, Brasil;50;Limão, Avenida Nossa Senhora do Ó;Limão, Avenida Nossa Senhora do Ó, São Paulo, Brasil
Rua José de Melo;Vila Dora;2;1;Apartamento;R$ 2.640;2862;Rua José de Melo, São Paulo, Brasil;50;Vila Dora, Rua José de Melo;Vila Dora, Rua José de Melo, São Paulo, Brasil
Av. Imperatriz Leopoldina;Vila Leopoldina;2;1;Apartamento;R$ 2.600;3650;Av. Imperatriz Leopoldina, São Paulo, Brasil;50;Vila Leopoldina, Av. Imperatriz Leopoldina;Vila Leopoldina, Av. Imperatriz Leopoldina, São Paulo, Brasil
Rua Carvalho de Freitas;Vila Andrade;2;1;Apartamento;R$ 2.600;3410;Rua Carvalho de Freitas, São Paulo, Brasil;50;Vila Andrade, Rua Carvalho de Freitas;Vila Andrade, Rua Carvalho de Freitas, São Paulo, Brasil
Rua São Bernardo;Cidade Mãe Do Céu;2;1;Apartamento;R$ 2.600;2633;Rua São Bernardo, São Paulo, Brasil;50;Cidade Mãe Do Céu, Rua São Bernardo;Cidade Mãe Do Céu, Rua São Bernardo, São Paulo, Brasil
Rua Cuiabá;Vila Alzira;2;1;Apartamento;R$ 2.570;2603;Rua Cuiabá, São Paulo, Brasil;50;Vila Alzira, Rua Cuiabá;Vila Alzira, Rua Cuiabá, São Paulo, Brasil
Praça Japuba;Alto De Pinheiros;2;1;Apartamento;R$ 2.500;3633;Praça Japuba, São Paulo, Brasil;50;Alto De Pinheiros, Praça Japuba;Alto De Pinheiros, Praça Japuba, São Paulo, Brasil
Avenida Capistrano de Abreu;Jaguaribe;2;1;Apartamento;R$ 2.500;3287;Avenida Capistrano de Abreu, São Paulo, Brasil;50;Jaguaribe, Avenida Capistrano de Abreu;Jaguaribe, Avenida Capistrano de Abreu, São Paulo, Brasil
Rua Serra da Bocaina;Quarta Parada;2;1;Apartamento;R$ 2.500;2981;Rua Serra da Bocaina, São Paulo, Brasil;50;Quarta Parada, Rua Serra da Bocaina;Quarta Parada, Rua Serra da Bocaina, São Paulo, Brasil
Rua Arnaldo Cintra;Vila Moreira;2;1;Apartamento;R$ 2.500;2950;Rua Arnaldo Cintra, São Paulo, Brasil;50;Vila Moreira, Rua Arnaldo Cintra;Vila Moreira, Rua Arnaldo Cintra, São Paulo, Brasil
Rua Aristódemo Gazzotti;Vila Das Belezas;2;1;Apartamento;R$ 2.450;3085;Rua Aristódemo Gazzotti, São Paulo, Brasil;50;Vila Das Belezas, Rua Aristódemo Gazzotti;Vila Das Belezas, Rua Aristódemo Gazzotti, São Paulo, Brasil
Rua Vênus;Vila Formosa;2;1;Apartamento;R$ 2.400;3085;Rua Vênus, São Paulo, Brasil;50;Vila Formosa, Rua Vênus;Vila Formosa, Rua Vênus, São Paulo, Brasil
Rua Anny;São João Climaco;2;1;Apartamento;R$ 2.400;2923;Rua Anny, São Paulo, Brasil;50;São João Climaco, Rua Anny;São João Climaco, Rua Anny, São Paulo, Brasil
Rua Itaiteva;Jardim Ampliação;2;1;Apartamento;R$ 2.395;3060;Rua Itaiteva, São Paulo, Brasil;50;Jardim Ampliação, Rua Itaiteva;Jardim Ampliação, Rua Itaiteva, São Paulo, Brasil
Rua das Lobélias;Vila Bela;2;1;Apartamento;R$ 2.392;2984;Rua das Lobélias, São Paulo, Brasil;50;Vila Bela, Rua das Lobélias;Vila Bela, Rua das Lobélias, São Paulo, Brasil
Rua Doutor Roberto Feijó;Parque Da Vila Prudente;2;1;Apartamento;R$ 2.380;3013;Rua Doutor Roberto Feijó, São Paulo, Brasil;50;Parque Da Vila Prudente, Rua Doutor Roberto Feijó;Parque Da Vila Prudente, Rua Doutor Roberto Feijó, São Paulo, Brasil
Rua Fortunato Ferraz;Vila Anastácio;2;1;Apartamento;R$ 2.350;3148;Rua Fortunato Ferraz, São Paulo, Brasil;50;Vila Anastácio, Rua Fortunato Ferraz;Vila Anastácio, Rua Fortunato Ferraz, São Paulo, Brasil
Rua Bom Jesus;Vila Regente Feijó;2;1;Apartamento;R$ 2.350;3112;Rua Bom Jesus, São Paulo, Brasil;50;Vila Regente Feijó, Rua Bom Jesus;Vila Regente Feijó, Rua Bom Jesus, São Paulo, Brasil
Rua Sousa Coutinho;Sacomã;2;1;Apartamento;R$ 2.350;2980;Rua Sousa Coutinho, São Paulo, Brasil;50;Sacomã, Rua Sousa Coutinho;Sacomã, Rua Sousa Coutinho, São Paulo, Brasil
Rua dos Aliados;Vila Sao Pedro;2;1;Apartamento;R$ 2.350;2850;Rua dos Aliados, São Paulo, Brasil;50;Vila Sao Pedro, Rua dos Aliados;Vila Sao Pedro, Rua dos Aliados, São Paulo, Brasil
Rua Fosca;Jardim Previdência;2;1;Apartamento;R$ 2.335;2975;Rua Fosca, São Paulo, Brasil;50;Jardim Previdência, Rua Fosca;Jardim Previdência, Rua Fosca, São Paulo, Brasil
Rua Capricho;Vila Nivi;2;1;Apartamento;R$ 2.300;2389;Rua Capricho, São Paulo, Brasil;50;Vila Nivi, Rua Capricho;Vila Nivi, Rua Capricho, São Paulo, Brasil
Rua Ibitirama;Vila Prudente;2;1;Apartamento;R$ 2.277;2788;Rua Ibitirama, São Paulo, Brasil;50;Vila Prudente, Rua Ibitirama;Vila Prudente, Rua Ibitirama, São Paulo, Brasil
Rua Cândida Franco de Barros;Itaberaba;2;1;Apartamento;R$ 2.250;3010;Rua Cândida Franco de Barros, São Paulo, Brasil;50;Itaberaba, Rua Cândida Franco de Barros;Itaberaba, Rua Cândida Franco de Barros, São Paulo, Brasil
Avenida Coronel Sezefredo Fagundes;Tucuruvi;2;1;Apartamento;R$ 2.240;2558;Avenida Coronel Sezefredo Fagundes, São Paulo, Brasil;50;Tucuruvi, Avenida Coronel Sezefredo Fagundes;Tucuruvi, Avenida Coronel Sezefredo Fagundes, São Paulo, Brasil
Rua Barão do Bananal;Vila Pompéia;2;1;Apartamento;R$ 2.238;3112;Rua Barão do Bananal, São Paulo, Brasil;50;Vila Pompéia, Rua Barão do Bananal;Vila Pompéia, Rua Barão do Bananal, São Paulo, Brasil
Rua Salvador Leme;Bom Retiro;2;1;Apartamento;R$ 2.230;3308;Rua Salvador Leme, São Paulo, Brasil;50;Bom Retiro, Rua Salvador Leme;Bom Retiro, Rua Salvador Leme, São Paulo, Brasil
Rua Aureliano Coutinho;Vila Buarque;2;1;Apartamento;R$ 2.200;3199;Rua Aureliano Coutinho, São Paulo, Brasil;50;Vila Buarque, Rua Aureliano Coutinho;Vila Buarque, Rua Aureliano Coutinho, São Paulo, Brasil
Rua Vicente Alves da Silva;Jardim Roberto;2;1;Apartamento;R$ 2.200;3022;Rua Vicente Alves da Silva, São Paulo, Brasil;50;Jardim Roberto, Rua Vicente Alves da Silva;Jardim Roberto, Rua Vicente Alves da Silva, São Paulo, Brasil
Avenida Deputado Emílio Carlos;Limão;2;1;Apartamento;R$ 2.200;2944;Avenida Deputado Emílio Carlos, São Paulo, Brasil;50;Limão, Avenida Deputado Emílio Carlos;Limão, Avenida Deputado Emílio Carlos, São Paulo, Brasil
Avenida Carlos Ferreira Endres;Vila Endres;2;1;Apartamento;R$ 2.200;2798;Avenida Carlos Ferreira Endres, São Paulo, Brasil;50;Vila Endres, Avenida Carlos Ferreira Endres;Vila Endres, Avenida Carlos Ferreira Endres, São Paulo, Brasil
Avenida Rangel Pestana;Brás;2;1;Apartamento;R$ 2.200;2734;Avenida Rangel Pestana, São Paulo, Brasil;50;Brás, Avenida Rangel Pestana;Brás, Avenida Rangel Pestana, São Paulo, Brasil
Rua Taipas;Santa Maria;2;1;Apartamento;R$ 2.200;2704;Rua Taipas, São Paulo, Brasil;50;Santa Maria, Rua Taipas;Santa Maria, Rua Taipas, São Paulo, Brasil
Rua Santa Carolina;Vila São Pedro;2;1;Apartamento;R$ 2.150;2403;Rua Santa Carolina, São Paulo, Brasil;50;Vila São Pedro, Rua Santa Carolina;Vila São Pedro, Rua Santa Carolina, São Paulo, Brasil
Avenida Fagundes Filho;Vila Monte Alegre;2;1;Apartamento;R$ 2.100;3102;Avenida Fagundes Filho, São Paulo, Brasil;50;Vila Monte Alegre, Avenida Fagundes Filho;Vila Monte Alegre, Avenida Fagundes Filho, São Paulo, Brasil
Rua Itanhaém;Vila Prudente;2;1;Apartamento;R$ 2.100;2915;Rua Itanhaém, São Paulo, Brasil;50;Vila Prudente, Rua Itanhaém;Vila Prudente, Rua Itanhaém, São Paulo, Brasil
Rua Doutor Carlos Aldrovandi;Jardim Parque Morumbi;2;1;Apartamento;R$ 2.100;2776;Rua Doutor Carlos Aldrovandi, São Paulo, Brasil;50;Jardim Parque Morumbi, Rua Doutor Carlos Aldrovandi;Jardim Parque Morumbi, Rua Doutor Carlos Aldrovandi, São Paulo, Brasil
Rua dos Aliados;Vila São Pedro;2;1;Apartamento;R$ 2.100;2581;Rua dos Aliados, São Paulo, Brasil;50;Vila São Pedro, Rua dos Aliados;Vila São Pedro, Rua dos Aliados, São Paulo, Brasil
Rua Barão de Iguape;Liberdade;2;1;Apartamento;R$ 2.086;2601;Rua Barão de Iguape, São Paulo, Brasil;50;Liberdade, Rua Barão de Iguape;Liberdade, Rua Barão de Iguape, São Paulo, Brasil
Avenida Domingos Odália Filho;Centro;2;1;Apartamento;R$ 2.050;3053;Avenida Domingos Odália Filho, São Paulo, Brasil;50;Centro, Avenida Domingos Odália Filho;Centro, Avenida Domingos Odália Filho, São Paulo, Brasil
Rua Campos Sales;Jardim Brasília (Zona Norte);2;1;Apartamento;R$ 2.047;2713;Rua Campos Sales, São Paulo, Brasil;50;Jardim Brasília (Zona Norte), Rua Campos Sales;Jardim Brasília (Zona Norte), Rua Campos Sales, São Paulo, Brasil
Rua Pedro Bellegarde;Chácara Califórnia;2;1;Apartamento;R$ 2.000;2740;Rua Pedro Bellegarde, São Paulo, Brasil;50;Chácara Califórnia, Rua Pedro Bellegarde;Chácara Califórnia, Rua Pedro Bellegarde, São Paulo, Brasil
Avenida Presidente Joao Goulart;Umuarama;2;1;Apartamento;R$ 2.000;2718;Avenida Presidente Joao Goulart, São Paulo, Brasil;50;Umuarama, Avenida Presidente Joao Goulart;Umuarama, Avenida Presidente Joao Goulart, São Paulo, Brasil
Rua Quatá;Vila Palmares;2;1;Apartamento;R$ 2.000;2627;Rua Quatá, São Paulo, Brasil;50;Vila Palmares, Rua Quatá;Vila Palmares, Rua Quatá, São Paulo, Brasil
Rua Campos Sales;Brás;2;1;Apartamento;R$ 2.000;2571;Rua Campos Sales, São Paulo, Brasil;50;Brás, Rua Campos Sales;Brás, Rua Campos Sales, São Paulo, Brasil
Rua Edmundo Kirmayr;Vila Roque;2;1;Apartamento;R$ 2.000;2538;Rua Edmundo Kirmayr, São Paulo, Brasil;50;Vila Roque, Rua Edmundo Kirmayr;Vila Roque, Rua Edmundo Kirmayr, São Paulo, Brasil
Rua Ana Soares Barcelos;Vila Venditti;2;1;Apartamento;R$ 2.000;2407;Rua Ana Soares Barcelos, São Paulo, Brasil;50;Vila Venditti, Rua Ana Soares Barcelos;Vila Venditti, Rua Ana Soares Barcelos, São Paulo, Brasil
Avenida Estados Unidos;Parque Das Nações;2;1;Apartamento;R$ 1.980;2552;Avenida Estados Unidos, São Paulo, Brasil;50;Parque Das Nações, Avenida Estados Unidos;Parque Das Nações, Avenida Estados Unidos, São Paulo, Brasil
Rua Piratininga;Brás;2;1;Apartamento;R$ 1.951;2550;Rua Piratininga, São Paulo, Brasil;50;Brás, Rua Piratininga;Brás, Rua Piratininga, São Paulo, Brasil
Rua dos Jatobás;Vila Parque Jabaquara;2;1;Apartamento;R$ 1.912;3063;Rua dos Jatobás, São Paulo, Brasil;50;Vila Parque Jabaquara, Rua dos Jatobás;Vila Parque Jabaquara, Rua dos Jatobás, São Paulo, Brasil
Rua Francisca Júlia;Santana;2;1;Apartamento;R$ 1.900;2685;Rua Francisca Júlia, São Paulo, Brasil;50;Santana, Rua Francisca Júlia;Santana, Rua Francisca Júlia, São Paulo, Brasil
Rua Scuvero;Cambuci;2;1;Apartamento;R$ 1.900;2623;Rua Scuvero, São Paulo, Brasil;50;Cambuci, Rua Scuvero;Cambuci, Rua Scuvero, São Paulo, Brasil
Rua Bresser;Mooca;2;1;Apartamento;R$ 1.900;2534;Rua Bresser, São Paulo, Brasil;50;Mooca, Rua Bresser;Mooca, Rua Bresser, São Paulo, Brasil
Rua das Palmeiras;Gopouva;2;1;Apartamento;R$ 1.900;2417;Rua das Palmeiras, São Paulo, Brasil;50;Gopouva, Rua das Palmeiras;Gopouva, Rua das Palmeiras, São Paulo, Brasil
Rua dos Turumãs;Vila Parque Jabaquara;2;1;Apartamento;R$ 1.890;2410;Rua dos Turumãs, São Paulo, Brasil;50;Vila Parque Jabaquara, Rua dos Turumãs;Vila Parque Jabaquara, Rua dos Turumãs, São Paulo, Brasil
Rua das Municipalidades;Ipiranga;2;1;Apartamento;R$ 1.880;2202;Rua das Municipalidades, São Paulo, Brasil;50;Ipiranga, Rua das Municipalidades;Ipiranga, Rua das Municipalidades, São Paulo, Brasil
Rua Francisco Coimbra;Penha De França;2;1;Apartamento;R$ 1.860;2563;Rua Francisco Coimbra, São Paulo, Brasil;50;Penha De França, Rua Francisco Coimbra;Penha De França, Rua Francisco Coimbra, São Paulo, Brasil
Rua Vergueiro;Jardim Previdencia;2;1;Apartamento;R$ 1.850;2421;Rua Vergueiro, São Paulo, Brasil;50;Jardim Previdencia, Rua Vergueiro;Jardim Previdencia, Rua Vergueiro, São Paulo, Brasil
Rua Doutor Luiz Migliano;Jardim Caboré;2;1;Apartamento;R$ 1.843;2494;Rua Doutor Luiz Migliano, São Paulo, Brasil;50;Jardim Caboré, Rua Doutor Luiz Migliano;Jardim Caboré, Rua Doutor Luiz Migliano, São Paulo, Brasil
Rua Correia de Lemos;Chácara Inglesa;2;1;Apartamento;R$ 1.840;2885;Rua Correia de Lemos, São Paulo, Brasil;50;Chácara Inglesa, Rua Correia de Lemos;Chácara Inglesa, Rua Correia de Lemos, São Paulo, Brasil
Rua Camarés;Carandiru;2;1;Apartamento;R$ 1.800;2489;Rua Camarés, São Paulo, Brasil;50;Carandiru, Rua Camarés;Carandiru, Rua Camarés, São Paulo, Brasil
Rua Marquês Maricá;Sacomã;2;1;Apartamento;R$ 1.800;2424;Rua Marquês Maricá, São Paulo, Brasil;50;Sacomã, Rua Marquês Maricá;Sacomã, Rua Marquês Maricá, São Paulo, Brasil
Rua Domingos José Sapienza;Vila Amalia (Zona Norte);2;1;Apartamento;R$ 1.800;2419;Rua Domingos José Sapienza, São Paulo, Brasil;50;Vila Amalia (Zona Norte), Rua Domingos José Sapienza;Vila Amalia (Zona Norte), Rua Domingos José Sapienza, São Paulo, Brasil
Rua Santa Izabel;Vila Augusta;2;1;Apartamento;R$ 1.800;2254;Rua Santa Izabel, São Paulo, Brasil;50;Vila Augusta, Rua Santa Izabel;Vila Augusta, Rua Santa Izabel, São Paulo, Brasil
Rua Bernardino Vergueiro;Jardim Jaú (Zona Leste);2;1;Apartamento;R$ 1.800;2212;Rua Bernardino Vergueiro, São Paulo, Brasil;50;Jardim Jaú (Zona Leste), Rua Bernardino Vergueiro;Jardim Jaú (Zona Leste), Rua Bernardino Vergueiro, São Paulo, Brasil
Rua Melo Palheta;Água Branca;2;1;Apartamento;R$ 1.790;2909;Rua Melo Palheta, São Paulo, Brasil;50;Água Branca, Rua Melo Palheta;Água Branca, Rua Melo Palheta, São Paulo, Brasil
Rua Professor João Machado;Nossa Senhora Do Ó;2;1;Apartamento;R$ 1.790;2535;Rua Professor João Machado, São Paulo, Brasil;50;Nossa Senhora Do Ó, Rua Professor João Machado;Nossa Senhora Do Ó, Rua Professor João Machado, São Paulo, Brasil
Rua Copacabana;Santa Teresinha;2;1;Apartamento;R$ 1.785;2406;Rua Copacabana, São Paulo, Brasil;50;Santa Teresinha, Rua Copacabana;Santa Teresinha, Rua Copacabana, São Paulo, Brasil
Rua Major Dantas Cortez;Vila Gustavo;2;1;Apartamento;R$ 1.780;2371;Rua Major Dantas Cortez, São Paulo, Brasil;50;Vila Gustavo, Rua Major Dantas Cortez;Vila Gustavo, Rua Major Dantas Cortez, São Paulo, Brasil
Rua das Grumixamas;Vila Parque Jabaquara;2;1;Apartamento;R$ 1.780;2349;Rua das Grumixamas, São Paulo, Brasil;50;Vila Parque Jabaquara, Rua das Grumixamas;Vila Parque Jabaquara, Rua das Grumixamas, São Paulo, Brasil
Rua Itza;Jardim Modelo;2;1;Apartamento;R$ 1.750;2178;Rua Itza, São Paulo, Brasil;50;Jardim Modelo, Rua Itza;Jardim Modelo, Rua Itza, São Paulo, Brasil
Rua dos Congregados;Vila Alto De Santo André;2;1;Apartamento;R$ 1.732;1891;Rua dos Congregados, São Paulo, Brasil;50;Vila Alto De Santo André, Rua dos Congregados;Vila Alto De Santo André, Rua dos Congregados, São Paulo, Brasil
Rua Alencar Araripe;Sacomã;2;1;Apartamento;R$ 1.712;2486;Rua Alencar Araripe, São Paulo, Brasil;50;Sacomã, Rua Alencar Araripe;Sacomã, Rua Alencar Araripe, São Paulo, Brasil
Rua Jaguaribe;Vila Buarque;2;1;Apartamento;R$ 1.700;2616;Rua Jaguaribe, São Paulo, Brasil;50;Vila Buarque, Rua Jaguaribe;Vila Buarque, Rua Jaguaribe, São Paulo, Brasil
Rua Almirante Brasil;Mooca;2;1;Apartamento;R$ 1.700;2424;Rua Almirante Brasil, São Paulo, Brasil;50;Mooca, Rua Almirante Brasil;Mooca, Rua Almirante Brasil, São Paulo, Brasil
Rua Bela Vista do Paraíso;Vila Palmeiras;2;1;Apartamento;R$ 1.700;2401;Rua Bela Vista do Paraíso, São Paulo, Brasil;50;Vila Palmeiras, Rua Bela Vista do Paraíso;Vila Palmeiras, Rua Bela Vista do Paraíso, São Paulo, Brasil
Rua Torquato Neto;Brás;2;1;Apartamento;R$ 1.700;2343;Rua Torquato Neto, São Paulo, Brasil;50;Brás, Rua Torquato Neto;Brás, Rua Torquato Neto, São Paulo, Brasil
Rua Bruno Cavalcanti Feder;Quinta Da Paineira;2;1;Apartamento;R$ 1.700;2321;Rua Bruno Cavalcanti Feder, São Paulo, Brasil;50;Quinta Da Paineira, Rua Bruno Cavalcanti Feder;Quinta Da Paineira, Rua Bruno Cavalcanti Feder, São Paulo, Brasil
Avenida José Barbosa de Siqueira;Padroeira;2;1;Apartamento;R$ 1.700;2241;Avenida José Barbosa de Siqueira, São Paulo, Brasil;50;Padroeira, Avenida José Barbosa de Siqueira;Padroeira, Avenida José Barbosa de Siqueira, São Paulo, Brasil
Rua Ricardo Biondi;Vila São Ricardo;2;1;Apartamento;R$ 1.700;2221;Rua Ricardo Biondi, São Paulo, Brasil;50;Vila São Ricardo, Rua Ricardo Biondi;Vila São Ricardo, Rua Ricardo Biondi, São Paulo, Brasil
Rua Padre Bento Ibáñez;Jardim Prudência;2;1;Apartamento;R$ 1.670;2501;Rua Padre Bento Ibáñez, São Paulo, Brasil;50;Jardim Prudência, Rua Padre Bento Ibáñez;Jardim Prudência, Rua Padre Bento Ibáñez, São Paulo, Brasil
Rua Iguaré;Tatuapé;2;1;Apartamento;R$ 1.650;2382;Rua Iguaré, São Paulo, Brasil;50;Tatuapé, Rua Iguaré;Tatuapé, Rua Iguaré, São Paulo, Brasil
Rua Coronel Francisco Júlio César Alfieri;Vila Sao Paulo;2;1;Apartamento;R$ 1.650;2134;Rua Coronel Francisco Júlio César Alfieri, São Paulo, Brasil;50;Vila Sao Paulo, Rua Coronel Francisco Júlio César Alfieri;Vila Sao Paulo, Rua Coronel Francisco Júlio César Alfieri, São Paulo, Brasil
Rua Visconde de Parnaíba;Mooca;2;1;Apartamento;R$ 1.640;2311;Rua Visconde de Parnaíba, São Paulo, Brasil;50;Mooca, Rua Visconde de Parnaíba;Mooca, Rua Visconde de Parnaíba, São Paulo, Brasil
Rua das Palmeiras;Gopoúva;2;1;Apartamento;R$ 1.638;2078;Rua das Palmeiras, São Paulo, Brasil;50;Gopoúva, Rua das Palmeiras;Gopoúva, Rua das Palmeiras, São Paulo, Brasil
